adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,Violent,Backdrop Image,Trailer Link
False,/naMeJEr54WFrz9sgFn6C6O0xvcI.jpg,"[10752, 36]",1376879,vi,Địa đạo: Mặt trời trong bóng tối,"In 1967, as the Vietnam War raged, a Vietnamese revolutionary guerrilla team became the U.S. military's top target—charged with safeguarding a secret group of intelligence agents at all costs.",9.7064,/qLv0HfTCGGnLgoTOoEWlXvjuwpA.jpg,2025-04-04,Tunnel: Sun In The Dark,False,0.0,0,1,https://image.tmdb.org/t/p/original/naMeJEr54WFrz9sgFn6C6O0xvcI.jpg,No Trailer Available
False,/fZFSvqWsN8bQiwVmJmcgeoL9awe.jpg,"[28, 12, 18, 10751]",38575,en,The Karate Kid,"Twelve-year-old Dre Parker could have been the most popular kid in Detroit, but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse, Dre's feelings make him an enemy of the class bully, Cheng. With no friends in a strange land, Dre has nowhere to turn but maintenance man Mr. Han, who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries, but maturity and calm, Dre realizes that facing down the bullies will be the fight of his life.",16.1989,/qV8xTWfknTOSErSa0b9Iay2QztS.jpg,2010-06-10,The Karate Kid,False,6.542,6109,0,https://image.tmdb.org/t/p/original/fZFSvqWsN8bQiwVmJmcgeoL9awe.jpg,https://www.youtube.com/watch?v=XY8amUImEu0
False,/7bIWKyWdT04HTY3PqLETT8CH7jo.jpg,"[28, 80, 53, 9648]",974453,en,Absolution,"An aging ex-boxer gangster working as muscle for a Boston crime boss receives an upsetting diagnosis.  Despite a faltering memory, he attempts to rectify the sins of his past and reconnect with his estranged children. He is determined to leave a positive legacy for his grandson, but the criminal underworld isn’t done with him and won’t loosen their grip willingly.",34.4071,/gt70JOD9xsPlpJnuBJAWdOT4yRg.jpg,2024-10-31,Absolution,False,5.9,373,1,https://image.tmdb.org/t/p/original/7bIWKyWdT04HTY3PqLETT8CH7jo.jpg,https://www.youtube.com/watch?v=m0zbtMTXZog
False,/5OeY4U2rzePxWq2rkqMajUx2gz7.jpg,"[16, 10751, 12, 14, 10749]",812,en,Aladdin,"In the boorish city of Agrabah, kind-hearted street urchin Aladdin and Princess Jasmine fall in love, although she can only marry a prince. He and power-hungry Grand Vizier Jafar vie for a magic lamp that can fulfill their wishes.",13.6266,/eLFfl7vS8dkeG1hKp5mwbm37V83.jpg,1992-11-25,Aladdin,False,7.651,11413,0,https://image.tmdb.org/t/p/original/5OeY4U2rzePxWq2rkqMajUx2gz7.jpg,https://www.youtube.com/watch?v=mq05scD6PUs
False,/hd1TvTUGjkoYoqvXYfSBpI5Ri9B.jpg,"[16, 28, 12, 878]",1159311,ja,僕のヒーローアカデミア THE MOVIE ユアネクスト,"In a society devastated by the effects of an all-out war between heroes and villains, a mysterious giant fortress suddenly appears, engulfing towns and people one after another. Then, a man reminiscent of All Might, the 'symbol of peace', stands in front of Izuku and his friends...",16.542,/8rdB1wkheEMMqcY8qLAKjCMPcnZ.jpg,2024-08-02,My Hero Academia: You're Next,False,6.843,105,0,https://image.tmdb.org/t/p/original/hd1TvTUGjkoYoqvXYfSBpI5Ri9B.jpg,https://www.youtube.com/watch?v=9DgdgQfHoR8
False,/3XaTaLyFoti99MgBYQk8UO41o1j.jpg,[99],321883,en,Minecraft: Into the Nether,"Minecraft. The game that took the world by storm. Follow the story of how the Minecraft phenomenon has ploughed through the 21st century selling over 54 million copies worldwide on a multitude of platforms engaging an audience in the millions which is still continuing to grow. The game boasts the biggest digital world in gaming history with a fan base stretching to every corner of the globe. Youtube viewing numbers have grown and online participation has tripled over the last few years creating a new industry for enthusiastic gamers. Vast communities have been brought together through it's educational impact, YouTube celebrities, festivals and game events pushing the boundaries of technology and creativity to the limits.",16.3275,/vLci7Om940xXupc4kUPTC2JoGWW.jpg,2015-01-27,Minecraft: Into the Nether,False,7.9,7,0,https://image.tmdb.org/t/p/original/3XaTaLyFoti99MgBYQk8UO41o1j.jpg,https://www.youtube.com/watch?v=7hxGWe3FKdc
False,/stmYfCUGd8Iy6kAMBr6AmWqx8Bq.jpg,"[28, 878, 35, 10751]",454626,en,Sonic the Hedgehog,"Powered with incredible speed, Sonic The Hedgehog embraces his new home on Earth. That is, until Sonic sparks the attention of super-uncool evil genius Dr. Robotnik. Now it’s super-villain vs. super-sonic in an all-out race across the globe to stop Robotnik from using Sonic’s unique power for world domination.",17.001,/aQvJ5WPzZgYVDrxLX4R6cLJCEaQ.jpg,2020-02-12,Sonic the Hedgehog,False,7.3,9854,0,https://image.tmdb.org/t/p/original/stmYfCUGd8Iy6kAMBr6AmWqx8Bq.jpg,https://www.youtube.com/watch?v=szby7ZHLnkA
False,/o0x4LOW8qzVNyqwWGMuFa3kE7Hs.jpg,"[80, 27, 53]",73861,sr,Srpski film,"Retired porn star Milos leads a normal family life trying to make ends meet. Presented with the opportunity of a lifetime to financially support his family for the rest of their lives, Milos must participate in one last mysterious film. From then on, Milos is drawn into a maelstrom of unbelievable cruelty and mayhem.",11.3569,/cToUzXZ9AcUylfIt8vnXhiy6Y9m.jpg,2010-06-16,A Serbian Film,False,5.46,2033,1,https://image.tmdb.org/t/p/original/o0x4LOW8qzVNyqwWGMuFa3kE7Hs.jpg,No Trailer Available
False,/j29ekbcLpBvxnGk6LjdTc2EI5SA.jpg,"[16, 10751, 12, 18, 35]",150540,en,Inside Out,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",23.4439,/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg,2015-06-17,Inside Out,False,7.911,22392,0,https://image.tmdb.org/t/p/original/j29ekbcLpBvxnGk6LjdTc2EI5SA.jpg,https://www.youtube.com/watch?v=1HFv47QHWJU
False,/cBTwQKMd7Vn6rGTGBtoFLIfj7uM.jpg,"[16, 12, 28, 14]",1147416,fr,"Miraculous World : Londres, la course contre le temps","To save the future from a terrible fate, Marinette becomes Chronobug and teams up with Bunnyx to defeat a mysterious opponent who travels through time. Who is this new supervillain, and why are they obsessed with exposing Marinette's secret superhero identity? Marinette's only hope is to defeat her new opponent to prevent the end of Ladybug and time itself!",32.9662,/6AtoMpHvs9pxd30KsyK8QmJ9W9M.jpg,2024-11-14,"Miraculous World: London, At the Edge of Time",False,7.2,240,1,https://image.tmdb.org/t/p/original/cBTwQKMd7Vn6rGTGBtoFLIfj7uM.jpg,https://www.youtube.com/watch?v=iFN9DouWuYY
False,/721p2lNSGp2iSlUUukZwCzEKrnn.jpg,"[53, 99, 878]",1023915,en,2073,"Inspired by Chris Marker's iconic 1962 featurette La Jetée; the year is 2073—a not-so-distant dystopian future—and the setting is New San Francisco, the scorched-earth tech-dominant police state where democracy and personal freedom have been well and truly obliterated.",12.0596,/l67ir3kU53FYd6Vjwhqrkih1H1P.jpg,2024-12-27,2073,False,7.074,47,0,https://image.tmdb.org/t/p/original/721p2lNSGp2iSlUUukZwCzEKrnn.jpg,https://www.youtube.com/watch?v=fgyFo0Q5qAc
False,/6O1mOoTXuc1WqjKd2R7MFQHZ7Eb.jpg,"[14, 16, 10751]",8392,ja,となりのトトロ,"Two sisters move to the country with their father in order to be closer to their hospitalized mother, and discover the surrounding trees are inhabited by Totoros, magical spirits of the forest. When the youngest runs away from home, the older sister seeks help from the spirits to find her.",24.5642,/rtGDOeG9LzoerkDGZF9dnVeLppL.jpg,1988-04-16,My Neighbor Totoro,False,8.07,8164,0,https://image.tmdb.org/t/p/original/6O1mOoTXuc1WqjKd2R7MFQHZ7Eb.jpg,https://www.youtube.com/watch?v=HaLISMAGdOE
False,/wNfo4jTlzLPcWc68xxw8VnBJjae.jpg,"[16, 10751, 10749, 10752]",629078,ur,گلاس ورکر,A young glassworker-in-training living with his pacifist father finds his apprenticeship upended by an impending war and the arrival of an army colonel to their seaside town.,34.9695,/Aj4IhLVphVwKuZrE5EcSGTUMmk2.jpg,2024-07-26,The Glassworker,False,8.1,12,0,https://image.tmdb.org/t/p/original/wNfo4jTlzLPcWc68xxw8VnBJjae.jpg,https://www.youtube.com/watch?v=mTuPHCyV6mw
False,/dGULFnPJKPh0sdu3F64YmQ0qcym.jpg,"[53, 18]",972533,en,Last Breath,Seasoned deep-sea divers battle the raging elements to rescue their crewmate trapped hundreds of feet below the ocean's surface.,40.8409,/w04Xg5Bnqj7ECdCxTsHgqK6AtJW.jpg,2025-02-27,Last Breath,False,6.142,113,1,https://image.tmdb.org/t/p/original/dGULFnPJKPh0sdu3F64YmQ0qcym.jpg,https://www.youtube.com/watch?v=sNMyooXZZTM
False,/7q5RVohE85yuQ9uZWXEXlHmfUOE.jpg,"[28, 27]",1062276,en,Dark Match,"A small-time wrestling company accepts a well-paying gig in a backwoods town only to learn, too late, that the community is run by a mysterious cult leader with devious plans for their match.",72.5682,/6E6fBED3ix7FmrWUWZdeYG4vqK8.jpg,2024-07-21,Dark Match,False,4.8,10,1,https://image.tmdb.org/t/p/original/7q5RVohE85yuQ9uZWXEXlHmfUOE.jpg,https://www.youtube.com/watch?v=2Q556EL8DGU
False,/st9M4O4imOuQVU35RMeYuEQfkvD.jpg,"[27, 18, 53]",1140535,en,Presence,"A couple, Rebekah and Chris, and their children, Tyler and Chloe, move into a seemingly normal suburban home. When strange occurrences occur, they begin to believe that there is something else in the house with them. The presence is about to disrupt their lives in unimaginable ways.",52.2213,/hZ8dTeBzigV5SVgwG1ikSROAFiS.jpg,2025-01-16,Presence,False,5.964,251,1,https://image.tmdb.org/t/p/original/st9M4O4imOuQVU35RMeYuEQfkvD.jpg,https://www.youtube.com/watch?v=Ay4MJZH6_K8
False,/nxxCPRGTzxUH8SFMrIsvMmdxHti.jpg,"[35, 14, 10751]",639720,en,IF,"After discovering she can see everyone's imaginary friends, a girl embarks on a magical adventure to reconnect forgotten imaginary friends with their kids.",19.0296,/xbKFv4KF3sVYuWKllLlwWDmuZP7.jpg,2024-05-08,IF,False,7.088,1315,0,https://image.tmdb.org/t/p/original/nxxCPRGTzxUH8SFMrIsvMmdxHti.jpg,https://www.youtube.com/watch?v=TP47e3-nmw8
False,/fVpFOcQyHJM2di9upgSIwWD5wac.jpg,"[27, 53, 28, 12]",396535,ko,부산행,"When a zombie virus pushes Korea into a state of emergency, those trapped on an express train to Busan must fight for their own survival.",18.1288,/vNVFt6dtcqnI7hqa6LFBUibuFiw.jpg,2016-07-20,Train to Busan,False,7.749,7702,1,https://image.tmdb.org/t/p/original/fVpFOcQyHJM2di9upgSIwWD5wac.jpg,https://www.youtube.com/watch?v=0_sV9luPnMk
False,/P82NAcEsLIYgQtrtn36tYsj41m.jpg,"[16, 35, 10751, 12]",748783,en,The Garfield Movie,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",22.7787,/xYduFGuch9OwbCOEUiamml18ZoB.jpg,2024-04-30,The Garfield Movie,False,7.068,1236,0,https://image.tmdb.org/t/p/original/P82NAcEsLIYgQtrtn36tYsj41m.jpg,https://www.youtube.com/watch?v=yk2Ej59DnrE
False,/ksZTspehDCC4PCZN8ci31pFT6yp.jpg,"[10752, 28, 36, 18]",660360,ko,노량: 죽음의 바다,"The Imjin War reaches its seventh year in December of 1598. Admiral Yi Sun-shin learns that the Wa invaders in Joseon are preparing for a swift withdrawal following the deathbed orders of their leader Toyotomi Hideyoshi. Determined to destroy the enemy once and for all, Admiral Yi leads an allied fleet of Joseon and Ming ships to mount a blockade and annihilate the Wa army. However, once Ming commander Chen Lin is bribed into lifting the blockade, Wa lord Shimazu Yoshihiro and his Satsuma army sail to the Wa army's rescue at Noryang Strait.",4.8834,/sRvL19WMG883eFyfs3wBRxf6Vx0.jpg,2023-12-20,Noryang: Deadly Sea,False,6.3,143,1,https://image.tmdb.org/t/p/original/ksZTspehDCC4PCZN8ci31pFT6yp.jpg,https://www.youtube.com/watch?v=HPRkiVU39I4
False,/rEEK2Djzvi5fsCa9QdBfmTtQIbP.jpg,[18],617359,bn,वृंदावानी वैराग्य,"Recalling memories of a friend who committed suicide, three lovers slowly slide into an anguish labyrinth of desire, loss and longing. They entangle in a colliding maze of forsaken loves, failed expectations and imperfect anticipations. A disintegrating web arises in which love exists, but as dispassionate yearning. Here affection is an indifferent desire that burns the soul to death.",19.736,/bAERtg7tDuWjppFKFLnpxpqf5Tp.jpg,2018-05-01,Dispassionate Love,False,4.5,4,0,https://image.tmdb.org/t/p/original/rEEK2Djzvi5fsCa9QdBfmTtQIbP.jpg,https://www.youtube.com/watch?v=arw_HtvNsCI
False,/4MNRH73XmwBK2ycv3qvLpa07O5F.jpg,"[28, 53]",1257960,hi,सिकंदर,"Sanjay ""Sikandar"" Rajkot, the king of Rajkot, becomes a target for Minister Rakesh Pradhan after he gets in an altercation with his son.",19.1052,/41s42CRXafa3OuRGvCtfYPEBmse.jpg,2025-03-29,Sikandar,False,4.0,2,1,https://image.tmdb.org/t/p/original/4MNRH73XmwBK2ycv3qvLpa07O5F.jpg,No Trailer Available
False,/lqHt4icP1GTaNBeVTxTrwTZdoAW.jpg,"[28, 53, 9648, 80]",1195430,hi,देवा,"Dev Ambre, a ruthless cop, loses his memory in an accident just after he has finished solving a murder case and now has to reinvestigate it while keeping his memory loss a secret from everyone except DCP Farhan Khan.",146.176,/4wKpglgZYMYpISMdThgdqS1TSQc.jpg,2025-01-31,Deva,False,6.8,5,1,https://image.tmdb.org/t/p/original/lqHt4icP1GTaNBeVTxTrwTZdoAW.jpg,https://www.youtube.com/watch?v=DBCy-fo9eSQ
False,/3gw6ZMxVbfOQcQahGsmwdvFJPOa.jpg,[99],324558,en,X-Rated: The Greatest Adult Movies of All Time,"The evolution of adult cinema through the most influential films in history, a journey that begins in the 1970s and ends nowadays. An in-depth analysis of the success of the most prestigious erotic films, their impact on industry and society, and their influence on cinema and contemporary culture.",7.3765,/1UgdqTHgwNivULiZvNcJ0Mj3skl.jpg,2015-02-06,X-Rated: The Greatest Adult Movies of All Time,False,6.5,187,0,https://image.tmdb.org/t/p/original/3gw6ZMxVbfOQcQahGsmwdvFJPOa.jpg,https://www.youtube.com/watch?v=NPXchkq_JPc
False,/7I6VUdPj6tQECNHdviJkUHD2u89.jpg,"[28, 53, 80]",603692,en,John Wick: Chapter 4,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",29.3793,/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,2023-03-22,John Wick: Chapter 4,False,7.722,6948,1,https://image.tmdb.org/t/p/original/7I6VUdPj6tQECNHdviJkUHD2u89.jpg,https://www.youtube.com/watch?v=yjRHZEUamCc
False,/nYQJYdfoy7Tkx6bPzUpmCMmyJ4y.jpg,"[53, 28]",1151470,en,The Vigilante,"Returning from Afghanistan, Jessica, a Spec OPS Marine, finds herself in a war she never imagined and discovers middle America suburbia has changed when her thirteen year old sister, Aimee, is abducted by sex traffickers.",63.9038,/xD9LpYZYmNch2EhHWIJXXFayENH.jpg,2023-09-08,The Vigilante,False,5.9,20,1,https://image.tmdb.org/t/p/original/nYQJYdfoy7Tkx6bPzUpmCMmyJ4y.jpg,https://www.youtube.com/watch?v=NUzXT8_1LN4
False,/iXU87IdtNsYt7n6OigPJBDdbFf1.jpg,"[10751, 16, 35, 28]",774370,en,Dog Man,"When a faithful police dog and his human police officer owner are injured together on the job, a harebrained but life-saving surgery fuses the two of them together and Dog Man is born. Dog Man is sworn to protect and serve—and fetch, sit and roll over. As Dog Man embraces his new identity and strives to impress his Chief, he must stop the pretty evil plots of feline supervillain Petey the Cat.",43.77,/89wNiexZdvLQ41OQWIsQy4O6jAQ.jpg,2025-01-24,Dog Man,False,7.8,184,0,https://image.tmdb.org/t/p/original/iXU87IdtNsYt7n6OigPJBDdbFf1.jpg,https://www.youtube.com/watch?v=QaJbAennB_Q
True,,"[27, 10752, 53]",1226359,tr,Bomba,,6.55,/duuCA6dOrB8irAy8y3GOHcmUpj.jpg,2024-04-01,Bomba,False,2.0,1,1,NO POSTER AVAILABLE,No Trailer Available
False,/n6bUvigpRFqSwmPp1m2YADdbRBc.jpg,"[80, 53, 18]",475557,en,Joker,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",19.0794,/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,2019-10-01,Joker,False,8.139,26300,1,https://image.tmdb.org/t/p/original/n6bUvigpRFqSwmPp1m2YADdbRBc.jpg,https://www.youtube.com/watch?v=-RFFRxcoKfA
False,/99XoA625Gl9Q5tBKGX1nf2g11yJ.jpg,"[27, 14]",1139937,en,Frogman,"An amateur filmmaker, struggling to turn his passion into a career, returns with friends to Loveland, Ohio, the location of his first, notorious sighting of the Frogman, determined to obtain irrefutable proof that the cryptid legend exists.",70.508,/hgAHquo8Bt0ub0ru3QLiyrhGltW.jpg,2024-09-26,Frogman,False,5.0,10,1,https://image.tmdb.org/t/p/original/99XoA625Gl9Q5tBKGX1nf2g11yJ.jpg,https://www.youtube.com/watch?v=Jc31f4C2gUs
False,/4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg,"[28, 80, 53, 12, 9648]",385687,en,Fast X,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",33.0435,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,2023-05-17,Fast X,False,7.0,5833,1,https://image.tmdb.org/t/p/original/4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg,https://www.youtube.com/watch?v=eoOaKN4qCKw
True,/dutvqRHUyNacoMwX5h9qu2KHZky.jpg,[99],1365281,ja,SSIS-419,,5.379,/2aGLpng34XrZundtlnxAG5L9GfR.jpg,2022-06-14,SSIS-419,False,6.0,1,0,https://image.tmdb.org/t/p/original/dutvqRHUyNacoMwX5h9qu2KHZky.jpg,No Trailer Available
False,/oguoQWtQJcqIkmmUNbe3CmLx6AP.jpg,"[12, 14, 18, 10749]",24021,en,The Twilight Saga: Eclipse,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.",13.8173,/3mFM80dPzSqoXXuC2UMvLIRWX32.jpg,2010-06-23,The Twilight Saga: Eclipse,False,6.203,8858,0,https://image.tmdb.org/t/p/original/oguoQWtQJcqIkmmUNbe3CmLx6AP.jpg,https://www.youtube.com/watch?v=hZxJzhIPTTg
False,/8w1A6YyblqO3xvyUTrMZDbQ7MMw.jpg,[99],557635,en,After Porn Ends 3,After Porn Ends 3 continues to explore whether a career as an adult performer is inherently damaging to the balance of a perfomer's life once retired.,3.5602,/wtbnyrnqpGgrgMZJz5rlv6q6V2c.jpg,2018-10-30,After Porn Ends 3,False,5.431,109,0,https://image.tmdb.org/t/p/original/8w1A6YyblqO3xvyUTrMZDbQ7MMw.jpg,https://www.youtube.com/watch?v=RRvmMY_OB-4
False,/zwSDvbnN51JqU1ULzPnEc22DkqV.jpg,"[10749, 35, 18]",1272149,en,Bridget Jones: Mad About the Boy,"Bridget Jones navigates life as a widow and single mum with the help of her family, friends, and former lover, Daniel. Back to work and on the apps, she's pursued by a younger man and maybe – just maybe – her son's science teacher.",16.9694,/taEVBdVSqYo9YeN3ycw2SosklZL.jpg,2025-02-12,Bridget Jones: Mad About the Boy,False,6.702,270,0,https://image.tmdb.org/t/p/original/zwSDvbnN51JqU1ULzPnEc22DkqV.jpg,https://www.youtube.com/watch?v=7sSNobjiep4
False,/4FnbeuCnsN3MT6omPrivl2ttJ8o.jpg,"[18, 10752, 36]",1061699,en,The Six Triple Eight,"During World War II, the US Army's only all-Black, all-women battalion takes on an impossible mission: sorting through a three-year backlog of 17 million pieces of mail that hadn't been delivered to American soldiers and finish within six months.",5.7687,/7tvAnzZj9e9AjdoHaN9jshm2Cjw.jpg,2024-12-06,The Six Triple Eight,False,7.557,489,1,https://image.tmdb.org/t/p/original/4FnbeuCnsN3MT6omPrivl2ttJ8o.jpg,https://www.youtube.com/watch?v=7Thq-SBtukg
False,/jcuZkNso7LNMFtPAcXunxQzIaIq.jpg,[99],1232493,ar,لا أرض أخرى,This film made by a Palestinian-Israeli collective shows the destruction of the occupied West Bank's Masafer Yatta by Israeli soldiers and the alliance which develops between the Palestinian activist Basel and Israeli journalist Yuval.,5.0344,/s7XYieuZg9kMe07i9VI4bfGN4Pw.jpg,2024-11-01,No Other Land,False,7.921,108,0,https://image.tmdb.org/t/p/original/jcuZkNso7LNMFtPAcXunxQzIaIq.jpg,https://www.youtube.com/watch?v=jOOgJICcxu0
